type,id,description,browser,timeMs,device,os,name
okra,10000-echo,,firefox-38.0,2317.751992,laptop,ubuntu-14.04-64bit,One 10000 Okra subsequent `get`
okra,load,Initial load event,firefox-38.0,67.74641500000001,laptop,ubuntu-14.04-64bit,
okra,10000-echo,,firefox-38.0,2545.531488,laptop,ubuntu-14.04-64bit,One 10000 Okra subsequent `get`
okra,load,Initial load event,firefox-38.0,97.18998300000004,laptop,ubuntu-14.04-64bit,
okra,10000-echo,,firefox-38.0,2275.2638559999996,laptop,ubuntu-14.04-64bit,One 10000 Okra subsequent `get`
okra,load,Initial load event,firefox-38.0,149.21567,laptop,ubuntu-14.04-64bit,
okra,10000-echo,,firefox-38.0,2280.3317890000003,laptop,ubuntu-14.04-64bit,One 10000 Okra subsequent `get`
okra,load,Initial load event,firefox-38.0,81.54492099999999,laptop,ubuntu-14.04-64bit,
okra,10000-echo,,firefox-38.0,2590.9550169999998,laptop,ubuntu-14.04-64bit,One 10000 Okra subsequent `get`
okra,load,Initial load event,firefox-38.0,53.932164,laptop,ubuntu-14.04-64bit,
okra,10000-echo,,firefox-38.0,2440.8842210000003,laptop,ubuntu-14.04-64bit,One 10000 Okra subsequent `get`
okra,load,Initial load event,firefox-38.0,76.936913,laptop,ubuntu-14.04-64bit,
okra,10000-echo,,firefox-38.0,2373.021875,laptop,ubuntu-14.04-64bit,One 10000 Okra subsequent `get`
okra,load,Initial load event,firefox-38.0,63.14643700000005,laptop,ubuntu-14.04-64bit,
okra,10000-echo,,firefox-38.0,2514.051784,laptop,ubuntu-14.04-64bit,One 10000 Okra subsequent `get`
okra,load,Initial load event,firefox-38.0,64.26184600000005,laptop,ubuntu-14.04-64bit,
okra,10000-echo,,firefox-38.0,2413.166793,laptop,ubuntu-14.04-64bit,One 10000 Okra subsequent `get`
okra,load,Initial load event,firefox-38.0,115.45879300000001,laptop,ubuntu-14.04-64bit,
okra,10000-echo,,firefox-38.0,2476.095067,laptop,ubuntu-14.04-64bit,One 10000 Okra subsequent `get`
okra,load,Initial load event,chrome-43.0,337.0920000015758,laptop,ubuntu-14.04-64bit,
okra,10000-echo,,chrome-43.0,2393.5440000204835,laptop,ubuntu-14.04-64bit,One 10000 Okra subsequent `get`
okra,load,Initial load event,chrome-43.0,161.13699998822995,laptop,ubuntu-14.04-64bit,
okra,10000-echo,,chrome-43.0,2538.018999999622,laptop,ubuntu-14.04-64bit,One 10000 Okra subsequent `get`
okra,load,Initial load event,chrome-43.0,92.42100000847131,laptop,ubuntu-14.04-64bit,
okra,10000-echo,,chrome-43.0,2403.275999997277,laptop,ubuntu-14.04-64bit,One 10000 Okra subsequent `get`
okra,load,Initial load event,chrome-43.0,237.236999993911,laptop,ubuntu-14.04-64bit,
okra,10000-echo,,chrome-43.0,2314.517999999225,laptop,ubuntu-14.04-64bit,One 10000 Okra subsequent `get`
okra,load,Initial load event,chrome-43.0,100.15700000803918,laptop,ubuntu-14.04-64bit,
okra,10000-echo,,chrome-43.0,2332.9110000049695,laptop,ubuntu-14.04-64bit,One 10000 Okra subsequent `get`
okra,load,Initial load event,chrome-43.0,216.19700000155717,laptop,ubuntu-14.04-64bit,
okra,10000-echo,,chrome-43.0,2304.1709999961313,laptop,ubuntu-14.04-64bit,One 10000 Okra subsequent `get`
okra,load,Initial load event,chrome-43.0,109.05699999420904,laptop,ubuntu-14.04-64bit,
okra,10000-echo,,chrome-43.0,2332.231000007596,laptop,ubuntu-14.04-64bit,One 10000 Okra subsequent `get`
okra,load,Initial load event,chrome-43.0,239.93199999677017,laptop,ubuntu-14.04-64bit,
okra,10000-echo,,chrome-43.0,2321.3399999949615,laptop,ubuntu-14.04-64bit,One 10000 Okra subsequent `get`
okra,load,Initial load event,chrome-43.0,99.9160000064876,laptop,ubuntu-14.04-64bit,
okra,10000-echo,,chrome-43.0,2342.138000007253,laptop,ubuntu-14.04-64bit,One 10000 Okra subsequent `get`
okra,load,Initial load event,chrome-43.0,86.86199999647215,laptop,ubuntu-14.04-64bit,
okra,10000-echo,,chrome-43.0,2315.0120000063907,laptop,ubuntu-14.04-64bit,One 10000 Okra subsequent `get`
okra,load,Initial load event,chrome-43.0,261.25900002080016,laptop,ubuntu-14.04-64bit,
okra,10000-echo,,chrome-43.0,2326.835999992909,laptop,ubuntu-14.04-64bit,One 10000 Okra subsequent `get`
okra,load,Initial load event,chrome-43.0,80.40899998741224,laptop,ubuntu-14.04-64bit,
okra,10000-echo,,chrome-43.0,2415.8499999903142,laptop,ubuntu-14.04-64bit,One 10000 Okra subsequent `get`
okra,load,Initial load event,chrome-43.0,81.06500000576489,laptop,ubuntu-14.04-64bit,
okra,10000-echo,,chrome-43.0,2316.5659999940544,laptop,ubuntu-14.04-64bit,One 10000 Okra subsequent `get`
okra,load,Initial load event,chrome-43.0,273.5090000205673,laptop,ubuntu-14.04-64bit,
okra,10000-echo,,chrome-43.0,2302.6979999849573,laptop,ubuntu-14.04-64bit,One 10000 Okra subsequent `get`
okra,load,Initial load event,chrome-43.0,85.39200000814162,laptop,ubuntu-14.04-64bit,
okra,10000-echo,,chrome-43.0,2442.3290000122506,laptop,ubuntu-14.04-64bit,One 10000 Okra subsequent `get`
okra,load,Initial load event,chrome-43.0,86.9830000156071,laptop,ubuntu-14.04-64bit,
okra,10000-echo,,chrome-43.0,2329.9779999942984,laptop,ubuntu-14.04-64bit,One 10000 Okra subsequent `get`
okra,load,Initial load event,chrome-43.0,194.1730000253301,laptop,ubuntu-14.04-64bit,
okra,10000-echo,,chrome-43.0,2296.1620000132825,laptop,ubuntu-14.04-64bit,One 10000 Okra subsequent `get`
okra,load,Initial load event,chrome-43.0,108.37699999683537,laptop,ubuntu-14.04-64bit,
okra,10000-echo,,chrome-43.0,2414.2379999975674,laptop,ubuntu-14.04-64bit,One 10000 Okra subsequent `get`
okra,load,Initial load event,chrome-43.0,83.21199999772944,laptop,ubuntu-14.04-64bit,
okra,10000-echo,,chrome-43.0,2324.691999994684,laptop,ubuntu-14.04-64bit,One 10000 Okra subsequent `get`
